rijksmonumentnummer,eindlabel,onderzoeksstatus,beleidsdoorlaat,confidence,reden,uitsluiting_fragments,relatieve_waardering_fragments,constatering_fragments,vanwege_fragments
522278,uitsluiting,inhoudelijk_relevant,True,0.98,De tekst bevat een expliciete uitsluitingsformulering dat een onderdeel buiten de rijksbescherming valt.,valt derhalve buiten de bescherming van rijkswege,is van algemeen belang vanwege de cultuurhistorische waarde en de vanwege de ensemblewaarde | heeft cultuurhistorische waarde als onderdeel van een sluiscomplex | De woning is tevens van belang vanwege de herkenbaarheid en de redelijke mate van gaafheid,is in het begin van de jaren tachtig vernieuwd,is van algemeen belang vanwege de cultuurhistorische waarde | De woning heeft ensemblewaarde vanwege de functionele en de visuele samenhang met de sluis | tevens van belang vanwege de herkenbaarheid en de redelijke mate van gaafheid
16133,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen neutrale beschrijvingen van kenmerken en toestand (o.a. bouwjaar, materialen, restauratie) zonder expliciete waardering, uitsluiting of 'vanwege'-formule.",,,"Schuur van de ""oude pastorie"" uit 1647 blijkens jaartal in de baksteen. | Rieten wolfdak, wanden deels van baksteen, deels van hout. | Gerestaureerd.",
11244,constatering,contextueel_relevant,False,0.62,"De tekst bevat uitsluitend neutrale, beschrijvende kenmerken van het huis zonder expliciete waarderings- of uitsluitingsformules.",,,"Herenhuis, midden 19e eeuw, met verdieping en omlopend schilddak. | Vensters met zesruitsschuiframen. | Eenvoudige deuromlijsting, waarbinnen dubbel deur uit de bouwtijd en bovenlicht.",
643,relatieve_waardering,inhoudelijk_relevant,True,0.78,De tekst bevat een expliciete waarderende kwalificatie ('Goede') bij een bouwkundig onderdeel.,,Goede empire roedenverdeling.,,
28509,constatering,contextueel_relevant,False,0.78,"De tekst bevat alleen neutrale beschrijvingen van bouwkundige kenmerken en datering, zonder waarderings- of uitsluitingsformuleringen.",,,"Huis met topgevel aan de voorzijde, zadeldak aan de achterzijde afgewolfd. | Voorgevel witgepleisterd. | 19e eeuw.",
26675,constatering,contextueel_relevant,False,0.78,"De tekst bevat neutrale constateringen over verdwenen/uitgebroken onderdelen en een modern onderdeel, zonder expliciete waardering of uitsluiting.",,,Hoofdgestel verdwenen. | Vensterkruisen en middenstijl uitgebroken. | Pui modern.,
24221,constatering,contextueel_relevant,False,0.62,De tekst bevat uitsluitend neutrale bouwkundige beschrijvingen zonder waarderings- of uitsluitingsformules.,,,Pand met twee verdiepingen onder zadeldak met voorschild waarboven schoorsteen; geblokte kroonlijst en dakkapel. | Op de verdiepingen zesruits vensters. | Deuromlijsting versierd.,
17825,constatering,contextueel_relevant,False,0.62,"De tekst bevat alleen een neutrale beschrijving van bouwkundige kenmerken en datering, zonder waarderings- of uitsluitingsformuleringen.",,,Pand met gevel uit de tweede helft van de 18e eeuw | deur met pilasteromlijsting,
6395,relatieve_waardering,inhoudelijk_relevant,True,0.93,De tekst kent expliciete waardering toe aan de gaafheid en oorspronkelijke staat van het huis.,,Zeer gaaf huis | vrijwel in de oorspronkelijke toestand bewaard | het enige huis van zijn soort waarvan de bovenvensters niet zijn vergroot,,
15122,constatering,contextueel_relevant,False,0.78,"De tekst bevat alleen neutrale bouwkundige beschrijvingen en datering, zonder waardering, uitsluiting of 'vanwege'-formulering.",,,Diep pand met zadeldak tegen 17e eeuwse achtertopgevel. | Voorgevel XVIIId met dakkapel.,
