rijksmonumentnummer,hoofdcategorie,adres,woonplaatsnaam,ai_heeft_uitsluiting,ai_heeft_relatieve_waardering,ai_heeft_constatering,ai_heeft_bescherming_vanwege,ai_fragment_uitsluiting,ai_fragment_relatieve_waardering,ai_fragment_constatering,ai_fragment_bescherming_vanwege,omschrijving
522278,Woningen en woningbouwcomplexen,Merwelanden 33,Dordrecht,True,False,True,True,en valt derhalve buiten de bescherming van rijkswege.,,De grotendeels in oorspronkelijke staat verkerende sluiswachterswoning staat aan de oostzijde van de schutsluis. | Het huis draagt een gevelsteen waarop de waterhoogte op 1-2-1953 staat aangegeven.,van algemeen belang vanwege de cultuurhistorische waarde en de vanwege de ensemblewaarde.,"Inleiding In 1888 gebouwde SLUISWACHTERSWONING, onderdeel van het sluiscomplex Hel- en Zuilespolder. De grotendeels in oorspronkelijke staat verkerende sluiswachterswoning staat aan de oostzijde van de schutsluis. De aan de westkant van de sluis staande, oorspronkelijk identieke sluismeesterswoning is in het begin van de jaren tachtig vernieuwd, en valt derhalve buiten de bescherming van rijkswege. Omschrijving De sluiswachterswoning staat op een fundering van 64 houten palen. Het betreft een eenvoudig, vanuit een rechthoekige plattegrond opgetrokken, op een met leilinden begroeide verhoging staand verdiepingloos woonhuis onder een met Hollandse pannen gedekt zadeldak. Het huis heeft een gepleisterde plint, rechtgesloten gevelopeningen en een symmetrische, naar de sluiskolk gerichte langsgevel met een deur onder bovenlicht en een met een luik behangen venster aan weerszijden. Het huis draagt een gevelsteen waarop de waterhoogte op 1-2-1953 staat aangegeven. Waardering De sluiswachterswoning, onderdeel van het sluiscomplex Hel- en Zuilespolder, is van algemeen belang vanwege de cultuurhistorische waarde en de vanwege de ensemblewaarde. - De schutsluis heeft cultuurhistorische waarde als onderdeel van een sluiscomplex, dat van belang is voor de landschappelijke ontwikkeling en de waterhuishouding van het poldergebied bij Dordrecht. - De woning heeft ensemblewaarde vanwege de functionele en de visuele samenhang met de sluis. - De woning is tevens van belang vanwege de herkenbaarheid en de redelijke mate van gaafheid."
16133,Woningen en woningbouwcomplexen,Kerkstraat 33,Gilze,False,False,True,False,,,"Schuur van de ""oude pastorie"" uit 1647 blijkens jaartal in de baksteen. | Rieten wolfdak, wanden deels van baksteen, deels van hout. | Gerestaureerd.",,"Schuur van de ""oude pastorie"" uit 1647 blijkens jaartal in de baksteen. Rieten wolfdak, wanden deels van baksteen, deels van hout. Gerestaureerd."
11244,Woningen en woningbouwcomplexen,Zutphensestraat 33,Brummen,False,False,True,False,,,"Herenhuis, midden 19e eeuw, met verdieping en omlopend schilddak. | Vensters met zesruitsschuiframen. | Eenvoudige deuromlijsting, waarbinnen dubbel deur uit de bouwtijd en bovenlicht.",,"Huis ""Assenrade"". Herenhuis, midden 19e eeuw, met verdieping en omlopend schilddak. Vensters met zesruitsschuiframen. Eenvoudige deuromlijsting, waarbinnen dubbel deur uit de bouwtijd en bovenlicht."
643,Woningen en woningbouwcomplexen,Recht Boomssloot 33 D,Amsterdam,False,True,True,False,,Goede empire roedenverdeling.,Pand met gevel (1726) onder rechte lijst (XIX B). | Versierde stoep. | Gesneden deuromlijsting uit de bouwtijd. | Gevelsteen met leeuw en D'ROO LEEUW.,,Pand met gevel (1726) onder rechte lijst (XIX B). Versierde stoep. Gesneden deuromlijsting uit de bouwtijd. Gevelsteen met leeuw en D'ROO LEEUW. Goede empire roedenverdeling.
28509,Woningen en woningbouwcomplexen,Dr. Baptiststraat 33,Megen,False,False,True,False,,,"Huis met topgevel aan de voorzijde, zadeldak aan de achterzijde afgewolfd. | Voorgevel witgepleisterd. | Met stoep. | 19e eeuw.",,"Huis met topgevel aan de voorzijde, zadeldak aan de achterzijde afgewolfd. Voorgevel witgepleisterd. Met stoep. 19e eeuw."
26675,Woningen en woningbouwcomplexen,Achter het Vleeshuis 33,Maastricht,False,True,True,False,,in de trant der zgn. Maaslandse renaissance,Hoofdgestel verdwenen. | Vensterkruisen en middenstijl uitgebroken. | Pui modern.,,"Huis met smalle gevel in de trant der zgn. Maaslandse renaissance, XVII B, met blokken en banden van mergel. Hoofdgestel verdwenen. Vensterkruisen en middenstijl uitgebroken. Pui modern."
24221,Woningen en woningbouwcomplexen,Hofplein 33,Leeuwarden,False,False,True,False,,,Pand met twee verdiepingen onder zadeldak met voorschild waarboven schoorsteen | geblokte kroonlijst en dakkapel | Op de verdiepingen zesruits vensters | Deuromlijsting versierd | Aan zijgevel twee zesruits vensters waarboven hijsbalk,,Pand met twee verdiepingen onder zadeldak met voorschild waarboven schoorsteen; geblokte kroonlijst en dakkapel. Op de verdiepingen zesruits vensters. Deuromlijsting versierd. Aan zijgevel twee zesruits vensters waarboven hijsbalk.
17825,Woningen en woningbouwcomplexen,Nieuwe Uitleg 33,'s-Gravenhage,False,False,True,False,,,"Pand met gevel uit de tweede helft van de 18e eeuw, deur met pilasteromlijsting.",,"Pand met gevel uit de tweede helft van de 18e eeuw, deur met pilasteromlijsting."
6395,Woningen en woningbouwcomplexen,Derde Weteringdwarsstraat 33,Amsterdam,False,True,True,False,,Zeer gaaf huis,vrijwel in de oorspronkelijke toestand bewaard | het enige huis van zijn soort waarvan de bovenvensters niet zijn vergroot en in het bezit zijn gelaten van onderdelen van de oorspronkelijke kruiskozijnen,,"Zeer gaaf huis van het ""Noortse-Bos-type"" (plm 1670, vrijwel in de oorspronkelijke toestand bewaard; het enige huis van zijn soort waarvan de bovenvensters niet zijn vergroot en in het bezit zijn gelaten van onderdelen van de oorspronkelijke kruiskozijnen). Vormt een groep met nr 31 en een rij met de groep 27-29."
15122,Woningen en woningbouwcomplexen,Westerstraat 33,Enkhuizen,False,False,True,False,,,Diep pand met zadeldak tegen 17e eeuwse achtertopgevel. | Voorgevel XVIIId met dakkapel.,,Diep pand met zadeldak tegen 17e eeuwse achtertopgevel. Voorgevel XVIIId met dakkapel.
